OBJECTID,CSA2010,tpop10,male10,female10,paa17,pwhite17,pasi17,p2more17,ppac17,phisp17,racdiv17,age5_17,age18_17,age24_17,age64_17,age65_17,hhs10,femhhs17,fam17,hhsize10,mhhi17,hh25inc17,hh40inc17,hh60inc17,hh75inc17,hhm7517,hhpov17,hhchpov17,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,16726,7657,9069,90.2845868707401,6.53473633863446,0.113595599665191,1.00442424967117,0,2.06265694128901,20.1152738569508,6.61245964366854,17.3741480330025,9.00394595240942,53.2882936745187,13.7211526964008,6098,71.1297071129707,35.1988217967599,2.64,39495.6284722222,32.9896907216494,17.7221404025527,19.9149075437735,11.9456717394861,17.427589592538,20.6950614058008,32.7705295471987,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,13391,5985,7406,75.3192442685385,18.8559480247927,0.418191322530057,3.30819206930027,0.313643491897543,1.78478082294078,41.0176118998053,7.93069972369501,14.5769546710477,9.70801284444776,55.3655440221043,12.4187887387051,5076,55.1873198847262,26.1442832925221,2.4,57572.5027472527,20.4181578451685,13.9009229610096,18.1766811075532,10.8683367865888,36.6359012996797,10.4749073762209,23.9167519617877,47882527.7110596,37524.9505334171
3,Belair-Edison,17380,7297,10083,85.6501726121979,10.0287686996547,0.569620253164557,1.69735327963176,0.811277330264672,1.2428078250863,27.255997878761,5.42002301495972,22.8078250863061,8.40621403912543,54.4533947065592,8.91254315304948,6174,77.5290572535514,38.2701812191103,2.9,39624.4820846905,34.1021416803953,16.2767710049423,20.0658978583196,8.10543657331136,21.4497528830313,20.2745771022309,34.5556246115599,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,12900,5746,7154,37.9612403100775,39.6821705426356,2.52713178294573,3.61240310077519,1.31007751937984,14.906976744186,73.9267342793088,10.906976744186,16.0930232558139,8.24806201550387,57.4496124031007,7.30232558139534,5204,43.3936022253129,32.3218700831647,2.61,40275.2753303964,31.4003146774556,18.3187233086086,18.5210159586423,9.08069229040233,22.6792537648909,24.2136064374542,46.4099594672843,176077742.748718,150987.703638772
5,Canton,8326,4094,4232,3.93946673072303,85.5753062695171,4.38385779485947,2.45015613740091,0.564496757146288,3.08671631035311,26.3054235491803,5.24861878453038,3.12274801825606,5.84914724957963,75.2462166706701,10.5332692769637,4310,10.5504587155963,11.0295977738426,1.86,111891.251824817,7.41209208196306,7.81684796357197,9.18289906400202,6.42549962054136,69.1626612699215,3.66178428761651,4.01721664275466,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,23552,10480,13072,80.56640625,11.7145040760869,3.54959239130434,0.777004076086956,0.0679347826086956,3.32455842391304,35.9171879325099,6.23726222826086,15.4891304347826,8.95889945652173,59.3113111413043,10.0033967391304,9348,43.7154441577589,29.553376906318,2.54,41625.5916870415,26.2200435729847,22.3311546840958,17.4509803921568,8.86710239651416,25.1307189542483,12.1821407451212,19.9638118214716,71541340.3063965,39962.5498347165
7,Cherry Hill,8068,3624,4444,87.4690133862171,4.36291522062469,0.929598413485374,1.4253842340109,0,5.81308874566187,30.2771398019112,8.31680713931581,27.1938522558254,9.13485374318294,45.5751115518096,9.77937530986613,3145,75.6201881950385,38.9536821059646,2.57,24250.9744525547,50.6831056314561,17.8940353215594,14.0286571142952,3.76541152949017,13.6287904031989,39.3370165745856,56.7879636109167,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,8450,3692,4758,68.8284023668639,20.792899408284,1.82248520710059,2.61538461538461,0,5.94082840236686,51.0316650282445,5.94082840236686,14.9467455621301,7.4792899408284,58.7455621301775,12.887573964497,3359,42.2301304863582,25.3381424706943,2.26,54249.575,23.7150586113615,14.3071836489329,17.85392245266,8.02524797114517,36.0985873159002,10.1259181532004,23.1621936989498,21022590.1307373,21705.411630344
9,Claremont/Armistead,9319,4353,4966,55.7141324176413,24.1442214829917,0.193153771863933,4.08842150445326,0.611653610902457,15.2484172121472,67.2824469899903,10.7414958686554,20.4313767571627,9.09968880781199,51.2608648996673,8.46657366670243,3419,55.7707203718048,36.759681093394,2.41,34792.619266055,36.0478359908883,20.3018223234624,22.6651480637813,5.26765375854214,15.7175398633257,24,34.6153846153846,61243774.4211426,40104.415980189
10,Clifton-Berea,9091,4168,4923,93.6640633593664,2.36497635023649,0.417995820041799,1.45198548014519,0.0659993400065999,2.03497965020349,14.5781025385897,5.43394566054339,18.4798152018479,8.78891211087889,52.1394786052139,15.1578484215157,3529,63.7749120750293,26.5732087227414,2.83,32288.6987951807,39.5950155763239,19.8130841121495,17.3831775700934,6.72897196261682,16.4797507788162,27.6495278069255,47.9245283018867,23285233.9251099,24022.7646207842
